Mean_X,Std_X,Mean_Y,Std_Y,Mean_Z,Std_Z,Activity
-0.688287212,1.772467117,-5.166042394,4.226400433,2.620757524,7.158987219,hand_wash
0.007161345,0.38694785,-4.84767367,0.560327097,-9.058616006,0.511885107,hand_wash
0.213322733,0.4465368,-4.117228251,0.28714634,-9.412889079,0.365754546,hand_wash
-1.196690404,4.536307186,-8.388934071,3.795463028,-4.407655287,9.513426999,hand_wash
-1.435233985,4.019827355,-9.202628022,3.691938868,-4.233382168,9.628260128,hand_wash
0.253048783,2.227077486,-7.449271667,3.929184927,-4.513189792,6.934396087,hand_wash
-1.452739846,6.448481833,-9.820123296,3.469968423,-2.760840204,10.30876327,hand_wash
-0.0787113,2.660298444,-6.760678535,3.718686894,-8.091348915,4.780519093,hand_wash
-0.011890418,1.030885569,-6.381275463,2.844890644,-6.656678598,4.398504317,hand_wash
-0.492128135,2.290271201,-4.50339875,2.292814685,-9.093864909,3.964887369,hand_wash
0.15747253,2.857005696,-6.836483447,3.719450057,-7.351549875,6.491311326,hand_wash
-0.455811326,2.933036449,-7.257459078,5.102181004,-1.356778611,7.792324696,hand_wash
-0.134738376,2.636997961,-7.415363216,4.604193438,-6.212927559,5.968009356,hand_wash
-0.132948023,2.148210168,-8.536216233,4.997123035,-0.028630265,5.897630909,hand_wash
0.333142276,1.442477302,-5.776688319,3.154503659,-7.238625562,5.761346876,hand_wash
1.375511878,0.76797527,-9.848142403,1.778901176,0.376753175,2.335404504,hand_wash
1.625577998,0.314690779,-9.727158408,1.034481122,0.956288613,0.785621682,hand_wash
1.631885689,0.389709861,-9.84417051,0.840618794,-0.425032969,1.551544604,hand_wash
1.520884831,0.420650591,-9.261457561,0.675299177,-3.501068014,1.106863748,hand_wash
1.963370616,0.334437127,-9.44715451,0.541149687,-2.820514902,0.623738378,hand_wash
1.671059664,0.465164665,-8.542323331,1.145444357,-4.956220221,1.719148184,hand_wash
1.46747114,3.205018176,-7.589164796,1.922706501,-6.04591858,4.33084369,hand_wash
0.271705974,3.325724329,-7.672470797,3.65815425,-6.193069793,5.952816958,hand_wash
1.102619582,2.069957159,-7.915240183,4.003901799,-3.718143072,5.826861862,hand_wash
-0.030110577,3.685381021,-8.827387707,2.318688621,-4.589758661,6.590588785,hand_wash
-1.058232049,1.351605952,-3.014193192,1.855455847,-9.662596237,2.065649079,hand_wash
-1.935128364,0.849464123,-3.580886168,1.682222303,-9.61191288,2.121461737,hand_wash
-1.878679398,0.890695522,-5.350414308,2.115396239,-8.426390118,2.160086288,hand_wash
-2.094820272,1.388653682,-5.472866209,3.018994143,-8.510983715,3.098822471,hand_wash
-1.262446892,1.800632017,-7.055665814,3.878330939,-6.401232886,3.842608678,hand_wash
-1.427643698,1.536911529,-8.314235443,3.288533755,-3.421260472,4.506191909,hand_wash
-2.724713535,2.199025296,-6.996585238,4.49318183,2.259346593,6.802495156,hand_wash
-0.970212736,1.999000797,-7.415403787,5.035939137,-5.391394595,5.853054408,hand_wash
-1.806406057,1.752316555,-7.398589516,3.054578597,-2.879773983,6.510577552,hand_wash
-1.888086211,2.518370572,-7.03402266,4.56927292,0.288412742,6.881648158,hand_wash
-1.043351977,2.297462298,-7.557187828,4.519398286,-6.83348457,4.452938172,hand_wash
-1.50375456,1.784764792,-6.101849907,3.024056062,-7.878758868,3.201730933,hand_wash
-0.968614331,2.376729976,-7.797523721,4.060576856,-5.724548768,5.598582325,hand_wash
-1.254422337,1.622270865,-5.115403697,4.151974624,-8.894868002,3.526574216,hand_wash
-1.293998229,0.60065976,-4.556856631,1.659980556,-9.102757776,1.462220018,hand_wash
-0.469945516,1.276637587,-2.43693236,5.471392156,5.256273496,5.345798727,hand_wash
-2.998054619,1.108399378,2.929405298,0.485388243,8.465172799,0.520095454,hand_wash
-1.346001,0,1.1903247,0,9.354946,0,hand_wash
-0.816192081,0.724025958,0.374858781,0.927401336,9.319900022,0.728486573,hand_wash
0.833976627,0.650913026,-1.608931443,1.633075456,9.115420645,0.902216198,hand_wash
0.666463061,3.612712786,-7.541843201,5.758604252,-1.845020359,7.898506761,hand_wash
-0.725778243,3.533813236,-4.549364513,6.568449362,-8.590336329,6.06534311,hand_wash
0.34975585,2.742580459,-0.256634626,4.611871779,-10.62327512,4.122406864,hand_wash
0.092762897,4.219206519,-7.84168469,6.572093874,-5.888306821,7.137750331,hand_wash
0.024010676,2.712696258,-1.921882206,5.2085112,-10.15993897,4.496106697,hand_wash
0.993041095,2.108383183,-3.199758316,4.780004024,-8.238793853,3.336003846,hand_wash
-1.464898285,2.046268058,1.215235286,2.687119024,-10.16671554,2.049128032,hand_wash
-1.080435573,1.02762815,1.693971484,1.434826599,-9.983545,1.559324438,hand_wash
-1.784111679,1.815015492,0.912668439,2.604881931,-10.01189303,2.733901317,hand_wash
-1.822874577,1.640122334,-2.238549099,4.700558244,-8.275901761,5.098641606,hand_wash
-1.359363278,1.697714976,-3.706138572,4.848330594,-7.817782426,2.895612963,hand_wash
-1.69872096,1.734448621,0.245110078,2.914697486,-10.16967972,2.754493911,hand_wash
-0.225958978,1.83757043,-5.470804821,4.641240539,-6.721634714,4.499943521,hand_wash
-1.849753423,2.449050123,-0.207439209,2.564061394,-10.14733387,2.655502702,hand_wash
-1.367309252,1.977774976,-2.745383753,5.240511283,-7.633322285,5.378279039,hand_wash
-1.238636364,2.02972493,-5.038540463,4.451808187,-3.009801693,6.952508241,hand_wash
-1.804493082,1.398721655,0.24454098,2.555234088,-10.15132584,2.835350333,hand_wash
-0.647486183,1.972740358,-6.753209674,4.330852073,-5.659186768,3.783260492,hand_wash
-1.745672825,0.948931355,-2.209879776,3.650753003,-9.107879918,1.701891714,hand_wash
-1.031779403,1.318403577,-4.175055453,4.219010724,-8.363258489,3.602811055,hand_wash
-0.209925956,2.329801747,-7.21691736,3.576529846,0.187347895,8.65208995,hand_wash
0.609459886,2.961970249,-8.209993899,7.121461551,-0.231373398,6.230832961,hand_wash
1.658269981,2.220688049,-7.428153099,3.465187997,-0.05842137,8.519840798,hand_wash
1.823392391,0.817119263,-7.580379102,4.224807779,4.174364896,2.611668699,hand_wash
1.318910355,4.976058065,-6.173065157,15.52648915,-3.598516844,8.388131331,hand_wash
4.049203933,5.691883762,-3.094510368,4.780001457,6.083772946,4.25523128,hand_wash
-0.33968896,0.989076301,-2.677979921,5.42478415,5.005451568,5.563081484,hand_wash
-0.2552671,3.320653564,-9.890183716,3.242189759,1.18470749,8.213405465,hand_wash
0.658533602,1.417364911,-6.378420904,3.406018456,5.114757726,3.906564424,hand_wash
0.315344227,1.804697848,-8.163349215,3.854784523,-6.092929661,4.550337361,hand_wash
1.119964893,2.35210935,-8.049856137,4.135998362,-2.559664901,5.255178894,hand_wash
-0.323932424,2.308410539,-6.994823898,4.280911627,-5.897288023,6.956077197,hand_wash
-0.317115566,2.043637827,-7.013153565,4.374036682,-3.823661184,7.043206636,hand_wash
-0.098474008,2.390010906,-8.857362846,4.759220338,-1.503612614,5.529064343,hand_wash
0.236027987,1.326500576,-4.789410661,2.846618008,-9.054146108,2.885055405,hand_wash
-0.018579918,2.192052769,-7.628482846,3.890786709,-2.607694791,6.005966301,hand_wash
-0.138863704,0.623912145,-8.716389048,1.675188101,-4.240524366,2.489402887,hand_wash
0.376861212,0.636950739,-9.94566072,0.935264337,-1.930630134,1.022102744,hand_wash
-0.926599859,0.487203783,-9.512507724,1.335444183,0.20309054,1.152403793,hand_wash
-0.624618741,0.926122783,-8.732088646,1.812114847,-4.215398768,2.500281994,hand_wash
0.654267173,1.641325962,-2.733310112,3.243229299,-9.987065531,2.998001826,hand_wash
1.034419127,1.177570809,-4.914962257,3.677650038,-6.986348338,4.093173588,hand_wash
-1.003928166,2.10906552,0.153755509,1.20326014,-10.24097306,1.244126246,hand_wash
-1.50404855,1.261871819,-0.970457174,1.55199065,-10.13534324,1.432361485,hand_wash
-0.031313103,0.475209071,0.38051169,0.799966519,-10.28607534,0.459959171,hand_wash
-0.737298465,0.693990741,0.952826507,0.652668597,-10.24640335,0.708332851,hand_wash
-1.134675723,0.962397219,0.181622324,2.337548627,-10.14253203,1.637408217,hand_wash
-1.279224988,1.416415039,-1.369061933,3.502076248,-9.582413843,3.589669329,hand_wash
-1.051869155,2.256151458,-2.724712182,5.106251644,-9.39422982,3.974105596,hand_wash
-2.272305626,2.145188827,-7.315068638,4.599980477,-2.490585757,6.749515777,hand_wash
-2.655353185,1.764841129,-6.461912365,4.130227296,-4.723252945,6.160922759,hand_wash
-0.99920699,1.978989005,-2.980843743,4.894780546,-9.050706268,3.119124726,hand_wash
-1.3613789,1.384659634,0.586850925,2.512027711,-10.14290776,2.331892622,hand_wash
0.07917006,0.491315758,-1.27993021,0.927616198,-10.17282108,0.498313295,hand_wash
-1.247983024,0.877030601,-0.887769721,2.737673019,-10.19911958,0.871498014,hand_wash
-0.325136382,2.399699639,-9.50301343,8.536205222,-1.41469564,3.320120242,hand_wash
-0.565720551,3.097545773,-4.319236346,11.00190205,3.837293045,7.587618226,hand_wash
0.760084509,3.689751475,-6.561183789,6.365917005,-4.479633432,9.923447425,hand_wash
-3.877278308,1.653379886,-4.277129202,1.181411218,-9.012552393,0.809771399,hand_wash
-1.154411275,1.580429036,-6.616786862,2.048007015,-6.84685103,2.906516427,hand_wash
-1.56707116,1.828072776,-3.790069047,3.403500707,-9.206936551,3.084033324,hand_wash
-1.697291094,2.567236298,-8.793400635,2.74669186,-3.902671995,7.19932788,hand_wash
-0.907637555,1.936954163,-6.784653725,3.862600987,-8.088804223,3.26993863,hand_wash
0.050628748,1.533118766,-7.391166088,2.41412519,-4.937394502,4.551919556,hand_wash
-0.023840216,0.565076259,-9.181674005,1.306965023,-2.166979444,3.340173047,hand_wash
-0.222760531,0.466417371,-9.921581802,0.931126949,0.060171907,1.474206547,hand_wash
0.161900949,0.307431429,-9.913068764,0.687813297,0.474699983,0.776475413,hand_wash
0.507978946,0.340627027,-9.895539794,0.815555965,0.295855348,1.174716265,hand_wash
-0.054753468,0.430008233,-9.636052762,0.810846215,-1.880612022,1.967957558,hand_wash
-0.465606766,0.401111838,-7.652985544,0.891479469,-6.663592971,1.116649197,hand_wash
0.669716229,0.299333641,-9.010881574,0.518943881,-4.481828537,0.519909945,hand_wash
0.759790301,0.210439746,-8.989397579,0.441315838,-4.76016061,0.744873757,hand_wash
2.212642345,0.594534774,-8.578758396,0.714332083,-4.598200359,1.094345317,hand_wash
1.149087683,1.957065746,-6.640096822,1.704500641,-6.943884835,2.301694928,hand_wash
